Record_number,Model_type,Temp_effect,Model_output_units,Model_temp_min,Model_temp_max,Model_N,Model_R2,T_depth,Model_paramA,Model_paramB,Model_paramC,Model_paramD,Model_paramE,WC_effect,R10,Q10_0_10,Q10_5_15,Q10_10_20,Q10_0_20,Q10_other1,Q10_other1_temp_min,Q10_other1_temp_max,Q10_other2,Q10_other2_temp_min,Q10_other2_temp_max
1656,"Linear, R=a+b(T^2)",Positive,mg CO2/m2/hr,0,21,,,5,31,0.58,,,,None,0.37,3.63,4.18,3.17,3.4,,,,,,
1660,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,mol CO2/m2/day,,,,0.67,10,-2.96,0.057,0,,,,1.06,,1.77,1.77,,,,,,,
1661,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,mol CO2/m2/day,,,,0.78,10,-3.22,0.084,0,,,,1.08,,2.33,2.33,,,,,,,
1662,Other,Positive,mol CO2/m2/day,,,,0.86,10,-3.85,0.121,-0.002,0,,Negative,,,,,,,,,,,
1676,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,17,27,,0.8,15,12.05,0.089,0,,,,,,,,,2.4,17,27,,,
1687,Other,Positive,mg C/m2/hr,-2,20,,,5,,,,,,,3,5.2,3.08,1.69,2.97,,,,,,
1688,Other,Positive,mg C/m2/hr,-2,20,,,5,,,,,,,1.96,4.25,2.2,2,2.92,,,,,,
1689,Other,Positive,mg C/m2/hr,-2,20,,,5,,,,,,,1.5,4.33,1.54,1.85,2.83,,,,,,
1690,Other,Positive,mg C/m2/hr,-2,20,,,5,,,,,,,2.31,5,3.3,1.8,3,,,,,,
1691,Other,Positive,mg C/m2/hr,-2,20,,,5,,,,,,,1.96,5.67,3.75,1,2.38,,,,,,
1692,Other,Positive,mg C/m2/hr,-2,20,,,5,,,,,,,1.96,5.67,3.13,0.76,2.08,,,,,,
1787,"Exponential, R=a exp(b(T-c))",Positive,kgC/ha/day,-5,19,,0.75,5,8.93,0.067,0,,,,1.68,2,2,2,2,,,,,,
1795,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,0,14,,0.5,10,0.247,0.155,0,,,None,7.36,4.71,4.71,,,,,,,,
1796,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,0,10,,0.33,10,0.123,0.117,0,,,None,2.51,3.23,,,,,,,,,
1797,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,0,14,,0.41,10,0.407,0.1,0,,,None,7.01,2.73,2.73,,,,,,,,
1798,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,0,10,,0.21,10,0.278,0.053,0,,,None,2.99,1.71,,,,,,,,,
1799,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,0,14,,0.24,10,0.344,0.087,0,,,None,5.19,2.39,2.39,,,,,,,,
1800,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,0,10,,0.06,10,0.584,0.034,0,,,None,5.18,1.4,,,,,,,,,
1801,Other,Positive,umol CO2/m2/s,0,40,,0.53,7,,,,,,Mixed,0.5,5,3.6,3,3.87,2.3,5,35,,,
1802,Other,Positive,umol CO2/m2/s,0,40,,0.53,7,,,,,,Mixed,0.5,5,3.6,3,3.87,2.3,5,35,,,
1803,Other,Positive,umol CO2/m2/s,0,40,,0.53,7,,,,,,Mixed,0.5,5,3.6,3,3.87,2.3,5,35,,,
1804,Other,Positive,,,,,,5,,,,,,,,,,,,,,,,,
1805,Other,Positive,,,,,,5,,,,,,,,,,,,,,,,,
1806,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,5,25,,0.67,5,0.259,0.051,0,,,Positive,2.74,,1.67,1.67,,,,,,,
1807,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,2,25,,0.45,5,0.324,0.051,0,,,Positive,3.41,1.67,1.67,1.67,1.67,,,,,,
1808,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,8,23,,0.73,5,0.297,0.064,0,,,Positive,3.54,,1.89,1.89,,,,,,,
1809,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,1,27,,0.66,5,0.147,0.065,0,,,Positive,1.78,1.92,1.92,1.92,1.92,,,,,,
1810,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,3,23,,0.55,5,0.306,0.061,0,,,Positive,3.56,1.84,1.84,1.84,1.84,,,,,,
1811,"Exponential, R=a exp(b(T-c))",Positive,g CO2/m2/hr,7,22,,0.5,5,0.32,0.072,0,,,Positive,4.12,,2.04,2.04,,,,,,,
1818,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,0,21,,0.85,7,,,,,,Mixed,2.5,2.6,2.6,2.6,2.6,,,,,,
1819,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,,,,0.83,5,0.708,0.109,0,,,,6,2.96,2.96,2.96,2.96,,,,,,
1820,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,,,,0.62,5,0.604,0.1,0,,,,5,2.72,2.72,2.72,2.72,,,,,,
1821,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,,,,0.6,5,,,,,,,5.95,3.25,3.25,3.25,3.25,,,,,,
1822,Other,Positive,umol CO2/m2/s,,,,0.48,5,0.969,0.065,0,,,,5.05,1.91,1.91,1.91,1.91,,,,,,
1823,Other,Positive,umol CO2/m2/s,,,,0.72,5,0.695,0.092,0,,,,5,2.5,2.5,2.5,2.5,,,,,,
1824,Other,Positive,umol CO2/m2/s,,,,0.75,5,,,,,,,7.9,4.92,4.92,4.92,4.92,,,,,,
1825,Other,Positive,umol CO2/m2/s,,,,0.62,5,0.969,0.081,0,,,,5.9,2.25,2.25,2.25,2.25,,,,,,
1826,Other,Positive,umol CO2/m2/s,,,,0.9,5,0.721,0.114,0,,,,6.4,3.14,3.14,3.14,3.14,,,,,,
1827,Other,Positive,umol CO2/m2/s,,,,0.42,5,0.485,0.048,0,,,,2.7,1.62,1.62,1.62,1.62,,,,,,
1828,Other,Positive,umol CO2/m2/s,,,,0.52,5,,,,,,,6.7,2.92,2.92,2.92,2.92,,,,,,
1829,Other,Positive,umol CO2/m2/s,,,,0.65,5,0.16,0.131,0,,,,4.4,3.69,3.69,3.69,3.69,,,,,,
1836,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,15,25,158.5,0.61,5,8.9,0.094,0,,,Positive,,,,,,2.6,15,25,,,
1837,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,15,25,158.5,0.61,5,8.9,0.094,0,,,Positive,,,,,,2.6,15,25,,,
1838,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,15,25,153,0.68,5,7.8,0.094,0,,,Positive,,,,,,2.6,15,25,,,
1839,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,15,25,145,0.59,5,9.6,0.081,0,,,Positive,,,,,,2.2,15,25,,,
1846,Other,Positive,,,,124,0.88,5,,,,,,None,,,,,,,,,,,
1847,Other,Positive,,,,124,0.88,5,,,,,,None,,,,,,,,,,,
1848,Other,Positive,,,,124,0.88,5,,,,,,None,,,,,,,,,,,
1849,Other,Positive,,,,124,0.88,5,,,,,,None,,,,,,,,,,,
1850,Other,Positive,,,,124,0.88,5,,,,,,None,,,,,,,,,,,
1851,Other,Positive,,,,124,0.88,5,,,,,,None,,,,,,,,,,,
1854,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1855,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1856,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1857,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1858,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1859,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1860,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1861,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1862,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1863,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1864,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1865,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1866,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1867,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1868,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1869,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1870,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1871,Other,Mixed,,,,,,,,,,,,,,,,,,2.6,16,26,,,
1877,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,3,17,12,0.96,5,0.85,0.109,0,,,,2.53,2.97,2.97,2.97,2.97,,,,,,
1878,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,3,17,15,0.67,5,1.13,0.085,0,,,,2.64,2.34,2.34,2.34,2.34,,,,,,
1879,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,3,17,9,0.88,5,0.83,0.115,0,,,,2.62,3.16,3.16,3.16,3.16,,,,,,
1883,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,1,16,,,2,,,,,,Mixed,6,,,,,,,,,,
1890,Other,Positive,mg CO2/m2/hr,4,36,,0.26,,17.893,155.14,0,,,,1.09,,1.59,1.27,,1.37,4,36,,,
1891,Other,Positive,mg CO2/m2/hr,4,36,,0.45,,9.269,124.77,0,,,,0.85,,1.62,1.28,,1.38,4,36,,,
1892,Other,Positive,mg CO2/m2/hr,4,36,,0.49,,-11.256,127.13,0,,,,0.73,,1.78,1.33,,1.46,4,36,,,
1893,Other,Positive,mg CO2/m2/hr,4,36,,0.59,,6.818,107.25,0,,,,0.72,,1.63,1.28,,1.39,4,36,,,
1902,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,-12,13,214,0.9,2,3.7,3.5,10,,,Positive,3.7,3.5,3.5,,,,,,,,
1941,Other,,mg C/m2/hr,10,30,,0.92,2,,,,,,,,,,1.24,,,,,,,
1942,Other,,mg C/m2/hr,10,30,,0.92,2,,,,,,,,,,1.55,,,,,,,
1943,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/s,3,35,66,0.59,5,0.044,0.094,0,,,None,2.54,2.55,2.55,2.55,2.55,,,,,,
1944,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/s,3,35,153,0.34,5,0.057,0.055,0,,,None,2.22,1.73,1.73,1.73,1.73,,,,,,
1947,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,-10,20,,,10,-0.548,0.139,0,,,,2.31,4,4,4,4,,,,,,
1948,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,-10,20,,,10,-0.462,0.139,0,,,,2.52,4,4,4,4,,,,,,
1949,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,-10,20,,,10,-0.739,0.095,0,,,,1.23,2.58,2.58,2.58,2.58,,,,,,
1950,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,-10,20,,,10,-0.334,0.095,0,,,,1.85,2.58,2.58,2.58,2.58,,,,,,
1951,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,-10,20,,,10,-0.548,0.139,0,,,,2.31,4,4,4,4,,,,,,
1952,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,-10,20,,,10,-0.462,0.139,0,,,,2.52,4,4,4,4,,,,,,
1953,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,-10,20,,,10,-0.739,0.095,0,,,,1.23,2.58,2.58,2.58,2.58,,,,,,
1954,"Exponential (ln1), ln(R)=a+b(T-c)",Positive,umol CO2/m2/s,-10,20,,,10,-0.334,0.095,0,,,,1.85,2.58,2.58,2.58,2.58,,,,,,
1955,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,10,28,,,5,,,,,,Positive,,,,,,,,,,,
1956,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,10,28,,,5,,,,,,Positive,,,,,,,,,,,
1957,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,10,28,,,5,,,,,,Positive,,,,,,,,,,,
1959,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,1,21,67,0.68,2,1.06,1.93,10,,,Mixed,1.06,1.93,1.93,1.93,1.93,,,,,,
1968,Other,Positive,umol CO2/m2/s,,,,,,,,,,,Negative,,,,,,,,,,,
1969,Other,Positive,umol CO2/m2/s,,,,,,,,,,,Negative,,,,,,,,,,,
1970,Other,Positive,umol CO2/m2/s,,,,,,,,,,,Negative,,,,,,,,,,,
1971,"Exponential, R=a exp(b(T-c))",Positive,g C/m2/hr,0,20,,,7.5,0.026,0.09,0,,,Positive,1.46,2.47,2.47,2.47,2.47,,,,,,
1972,"Exponential, R=a exp(b(T-c))",Positive,g C/m2/hr,0,20,,,7.5,0.016,0.195,0,,,Positive,2.57,7.04,7.04,7.04,7.04,,,,,,
1973,"Exponential, R=a exp(b(T-c))",Positive,g C/m2/hr,0,20,,,7.5,0.078,0.143,0,,,Positive,7.58,4.2,4.2,4.2,4.2,,,,,,
1974,"Exponential, R=a exp(b(T-c))",Positive,g C/m2/hr,0,20,,,7.5,0.016,0.167,0,,,Positive,2,5.29,5.29,5.29,5.29,,,,,,
1975,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,2,20,,0.56,10,0.588,0.121,0,,,Positive,1.97,3.4,3.4,3.4,3.4,,,,,,
1976,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,2,20,,0.56,10,0.588,0.121,0,,,Positive,1.97,3.4,3.4,3.4,3.4,,,,,,
1977,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,2,20,,0.56,10,0.588,0.121,0,,,Positive,1.97,3.4,3.4,3.4,3.4,,,,,,
1978,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,2,20,,0.56,10,0.588,0.121,0,,,Positive,1.97,3.4,3.4,3.4,3.4,,,,,,
1979,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,2,20,,0.56,10,0.588,0.121,0,,,Positive,1.97,3.4,3.4,3.4,3.4,,,,,,
1980,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,2,20,,0.56,10,0.588,0.121,0,,,Positive,1.97,3.4,3.4,3.4,3.4,,,,,,
1987,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,0,17,14,0.78,5,5.04,0.092,10,,,,5.04,2.51,2.51,2.51,2.51,,,,,,
1988,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,0,17,17,0.74,5,5.4,0.11,10,,,,5.4,3,3,3,3,,,,,,
1989,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,0,17,14,0.76,5,4.81,0.098,10,,,,4.81,2.66,2.66,2.66,2.66,,,,,,
1990,"Linear, R=a+b(T-c)",Negative,g CO2/m2/hr,11,27,,0.24,10,,,,,,Negative,,,,,,,,,,,
1991,"Linear, R=a+b(T-c)",Negative,g CO2/m2/hr,11,27,,0.24,10,,,,,,Negative,,,,,,,,,,,
1992,"Linear, R=a+b(T-c)",Negative,g CO2/m2/hr,11,27,,0.24,10,,,,,,Negative,,,,,,,,,,,
1993,"Linear, R=a+b(T-c)",None,g CO2/m2/hr,11,27,,0,10,,,,,,Positive,,,,,,,,,,,
1994,"Linear, R=a+b(T-c)",None,g CO2/m2/hr,11,27,,0,10,,,,,,Positive,,,,,,,,,,,
1995,"Linear, R=a+b(T-c)",None,g CO2/m2/hr,11,27,,0,10,,,,,,Positive,,,,,,,,,,,
1996,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,,,,0.38,5,,,,,,None,,,,,,,,,,,
2015,Other,Positive,umol CO2/m2/s,-3,13,,0.7,5,,,,,,None,0.19,4,4,,,,,,,,
2016,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,6,27,,0.86,5,144.9,0.114,0,,,None,2.86,,3.12,3.12,,,,,,,
2017,"Exponential, R=a exp(b(T-c))",Positive,mg CO2/m2/hr,1,24,,0.86,5,176.43,0.103,0,,,None,3.12,2.8,2.8,2.8,2.8,,,,,,
2018,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,2,18,67,0.68,2,1.06,1.93,10,,,,1.06,1.93,1.93,1.93,1.93,,,,,,
2019,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,2,18,12,0.7,2,1.44,1.87,10,,,,1.44,1.87,1.87,1.87,1.87,,,,,,
2020,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,2,18,12,0.84,2,1.23,2.39,10,,,,1.23,2.39,2.39,2.39,2.39,,,,,,
2021,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,2,18,66,0.79,2,1.85,3.25,10,,,,1.85,3.25,3.25,3.25,3.25,,,,,,
2022,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,2,18,12,0.95,2,2.15,4.8,10,,,,2.15,4.8,4.8,4.8,4.8,,,,,,
2023,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,2,18,12,0.84,2,1.38,2.45,10,,,,1.38,2.45,2.45,2.45,2.45,,,,,,
2024,Other,Positive,kg C/ha/day,0,30,,,10,,,,,,,,,,,,,,,,,
2025,Other,Positive,kg C/ha/day,0,30,,,10,,,,,,,,,,,,,,,,,
2026,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,0,15,,,5,,,,,,,,3.7,3.7,,,,,,,,
2027,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,0,15,,,5,,,,,,,,2.98,2.98,,,,,,,,
2028,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,0,15,,,5,,,,,,,,2.82,2.82,,,,,,,,
2029,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,0,15,,,5,,,,,,,,2.74,2.74,,,,,,,,
2030,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,0,15,,,5,,,,,,,,3.7,3.7,,,,,,,,
2031,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,0,15,,,5,,,,,,,,2.98,2.98,,,,,,,,
2032,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,0,15,,,5,,,,,,,,2.82,2.82,,,,,,,,
2033,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,0,15,,,5,,,,,,,,2.74,2.74,,,,,,,,
2034,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,0,15,,,5,,,,,,,,3.7,3.7,,,,,,,,
2035,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,0,15,,,5,,,,,,,,2.98,2.98,,,,,,,,
2036,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,0,15,,,5,,,,,,,,2.82,2.82,,,,,,,,
2037,"Exponential, R=a exp(b(T-c))",Positive,mg C/m2/hr,0,15,,,5,,,,,,,,2.74,2.74,,,,,,,,
2042,"Exponential, R=a exp(b(T-c))",Positive,,0,20,,,10,,,,,,,,,,,,,,,,,
2043,"Exponential, R=a exp(b(T-c))",Positive,,0,20,,,10,,,,,,,,,,,,,,,,,
2044,"Exponential, R=a exp(b(T-c))",Positive,,0,20,,,10,,,,,,,,,,,,,,,,,
2045,"Exponential, R=a exp(b(T-c))",Positive,,0,20,,,10,,,,,,,,,,,,,,,,,
2046,"Exponential, R=a exp(b(T-c))",Positive,,0,20,,,10,,,,,,,,,,,,,,,,,
2050,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,3,18,,,5,0.825,0.088,0,,,,1.98,,2.4,2.4,,,,,,,
2060,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,14,30,,0.53,5,1.373,0.08,0,,,Mixed,,,,2.22,,2.22,14,30,,,
2061,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,14,30,,0.51,5,1.322,0.075,0,,,Mixed,,,,2.12,,2.12,14,30,,,
2062,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,14,30,,0.33,5,1.531,0.069,0,,,Mixed,,,,2,,2,14,30,,,
2063,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,14,30,,0.31,5,1.263,0.072,0,,,Mixed,,,,2.06,,2.06,14,30,,,
2107,"Logistic, R=a/(1+b exp(-cT))",,umol CO2/m2/s,,,,0.37,,6.05,18.18,0.32,,,,3.47,11.02,4.06,1.69,4.31,,,,,,
2108,Other,,umol CO2/m2/s,,,,0.47,,1.99,236.9,-11.187,0.859,,,1.99,,,,,,,,,,
2109,Other,,umol CO2/m2/s,,,,0.74,,5.39,384.3,-0.006,0.035,,,5.39,,,,,,,,,,
2112,"Logistic, R=a/(1+b exp(-cT))",,umol CO2/m2/s,,,,0.45,,14.84,17.22,0.17,,,,3.58,4.39,3.57,2.63,3.4,,,,,,
2113,"Logistic, R=a/(1+b exp(-cT))",,umol CO2/m2/s,,,,0.66,,12.69,23.29,0.25,,,,4.39,8.34,4.96,2.52,4.58,,,,,,
2115,"Logistic, R=a/(1+b exp(-cT))",,umol CO2/m2/s,,,,0.48,,5.33,8.95,0.18,,,,2.2,4.01,2.9,1.99,2.83,,,,,,
2116,"R10 (L&T), R=a exp(b((1/c)-(1/(T-d)))",,umol CO2/m2/s,,,,0.8,,3.83,310.2,56.02,-46.02,,,3.83,3.33,2.71,2.31,2.78,,,,,,
2117,"R10 (L&T), R=a exp(b((1/c)-(1/(T-d)))",,umol CO2/m2/s,,,,0.77,,2.86,260.2,56.02,-46.02,,,2.86,2.74,2.31,2.02,2.35,,,,,,
2118,"R10 (L&T), R=a exp(b((1/c)-(1/(T-d)))",,umol CO2/m2/s,,,,0.77,,3.16,308.56,56.02,-46.02,,,3.16,3.31,2.69,2.3,2.76,,,,,,
2123,Other,,umol CO2/m2/s,,,,0.44,,3.19,269.8,-7.109,0.422,,,3.19,,,,,,,,,,
2124,"R10 (L&T), R=a exp(b((1/c)-(1/(T-d)))",,umol CO2/m2/s,,,,0.65,,2.09,541.3,56.02,-46.02,,,2.09,8.16,5.69,4.32,5.94,,,,,,
2125,"Logistic, R=a/(1+b exp(-cT))",,umol CO2/m2/s,,,,0.23,,5.65,520.23,0.84,,,,5.06,,8.79,1.12,,,,,,,
2126,"Logistic, R=a/(1+b exp(-cT))",,umol CO2/m2/s,,,,0.45,,1.71,17.15,0.11,,,,0.25,2.71,2.54,2.31,2.5,,,,,,
2134,Other,Positive,mg CO2/m2/hr,0,20,,,,,,,,,,,,,,,,,,,,
2138,"Q10, R=a b^((T-c)/10)",Positive,umol CO2/m2/s,2,18,,0.98,5,2.6,3.7,10,,,Mixed,2.6,3.7,3.7,3.7,3.7,,,,,,
2139,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,6,20,9,0.73,5,0.38,0.13,0,,,None,1.39,,3.67,3.67,,,,,,,
2140,"Exponential, R=a exp(b(T-c))",Positive,umol CO2/m2/s,8,18,9,0.74,5,0.43,0.14,0,,,None,1.74,,4.06,4.06,,,,,,,
2146,"Linear, R=a+b(T-c)",Positive,g CO2/m2/hr,19,26,,0.53,,-0.032,0.009,0,,,,,,,,,1.68,18,26,,,
2154,"Exponential, R=a exp(b(T-c))",Positive,g C/m2/day,0,21,,0.84,1,0.54,0.133,0,,,Mixed,,3.79,3.79,3.79,3.79,,,,,,
2155,"Exponential, R=a exp(b(T-c))",Positive,g C/m2/day,,,,,,,,,,,,,,,,,,,,,,
2156,"Exponential, R=a exp(b(T-c))",Positive,g C/m2/day,,,,,,,,,,,,,,,,,,,,,,
2157,"Exponential, R=a exp(b(T-c))",Positive,g C/m2/day,,,,,,,,,,,,,,,,,,,,,,
2158,"Exponential, R=a exp(b(T-c))",Positive,g C/m2/day,,,,,,,,,,,,,,,,,,,,,,
2163,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2,,,,,,,,,,
2164,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2.9,,,,,,,,,,
2165,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,3.5,,,,,,,,,,
2166,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,3.66,,,,,,,,,,
2167,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2.75,,,,,,,,,,
2168,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2.5,,,,,,,,,,
2169,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2.75,,,,,,,,,,
2170,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,3,,,,,,,,,,
2171,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2.75,,,,,,,,,,
2172,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,3,,,,,,,,,,
2173,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2.9,,,,,,,,,,
2174,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,3.5,,,,,,,,,,
2175,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2,,,,,,,,,,
2176,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2.9,,,,,,,,,,
2177,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,3.5,,,,,,,,,,
2178,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,3.66,,,,,,,,,,
2179,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2.75,,,,,,,,,,
2180,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2.5,,,,,,,,,,
2181,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2.75,,,,,,,,,,
2182,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,3,,,,,,,,,,
2183,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2.75,,,,,,,,,,
2184,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,3,,,,,,,,,,
2185,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,2.9,,,,,,,,,,
2186,"Linear, R=a+b(T-c)",Positive,umol CO2/m2/s,-1,19,,,10,,,,,,Mixed,3.5,,,,,,,,,,
2191,Other,,umol CO2/m2/s,5,25,,,5,,,,,,Mixed,2,,2.79,,,,,,,,
2192,Other,,umol CO2/m2/s,5,25,,,5,,,,,,Mixed,2,,3.06,,,,,,,,
2193,Other,,umol CO2/m2/s,5,25,,,5,,,,,,Mixed,2,,2.79,,,,,,,,
