Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Site_ID,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Collar_height,Collar_depth,Chamber_area,Time_of_day,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes
3326,2009-08-26,2776,Son,,,BBL,South Korea,,Yangpyeong Experimental Forest,KR-YEF-40THINN,2001,1,37.55,127.57,,Thinned,40% thinned,,19,Larix leptolepis,Temperate,Forest,Managed,Deciduous,Aggrading,Sandy clay loam,Dry,,,,,,,,,,,IRGA,,0.5,78.5,,30,0.75,,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3327,2009-08-26,1080,Lee,,,BBL,USA,Alabama,Alabama Agricultural Experiment Station,US-AAE-NT,1993.5,1,32.41,-85.95,,No-till,,,1,Zea mays; Glycine max; Trifolium ancarnatum,Temperate,Agriculture,Managed,Deciduous,Aggrading,Loamy sand (Typic Kandiudult),Dry,,,,,,,,,,,IRGA,,,,,21,1,,1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3328,2009-08-26,1080,Lee,,,BBL,USA,Alabama,Alabama Agricultural Experiment Station,US-AAE-CK,1993.5,1,32.41,-85.95,,Conventional tillage,,,1,Zea mays; Glycine max; Trifolium ancarnatum,Temperate,Agriculture,Managed,Deciduous,Aggrading,Loamy sand (Typic Kandiudult),Dry,,,,,,,,,,,IRGA,,,,,21,1,,2558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3329,2009-08-26,2451,Son,,,BBL,South Korea,,Mt. Kumdan,KR-MKU-RTF,2001,1.3,37.45,127.27,,None,,20,20,Salix glandulosa; Salix koreensis; Acer ginnala,Temperate,Forest,Unmanaged,Deciduous,Aggrading,,Dry,0.69,,,,,10.8,790,,,,IRGA,,0.5,,,30,1,,982,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3330,2009-08-26,2451,Son,,,BBL,South Korea,,Mt. Kumdan,KR-MKU-CTS,2001,1.3,37.45,127.27,,None,,20,20,Spiraea prunifolia; Lespedeza bicola; Pueraria thunbergiana,Temperate,Shrubland,Unmanaged,Deciduous,Aggrading,,Dry,0.93,,,,,10.8,790,,,,IRGA,,0.5,,,30,1,,922,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3331,2009-08-26,2451,Son,,,BBL,South Korea,,Mt. Kumdan,KR-MKU-INF,2001,1.3,37.45,127.27,,None,,,,Quercus mongolica; Quercus variabilis; Prunus sargentii; Fraxinus rhynchophylla,Temperate,Forest,Natural,Deciduous,Aggrading,,Dry,0.81,,,,,10.8,790,,,,IRGA,,0.5,,,30,1,,1110,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3332,2009-08-26,220,Kawahara,,,BBL,Japan,,Yaita City,JP-YAC-FC,1974,1,,,940,None,,,,Fagus crenata,Temperate,Forest,Natural,Deciduous,Mature,,Dry,,,,,,,,,,,Alkali absorption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.5,,,,,18.1,,,,,,,,,
3333,2009-08-26,220,Kawahara,,,BBL,Japan,,Yaita City,JP-YAC-COMID,1974,1,,,730,None,,,,Chemacecyparis obtusa,Temperate,Forest,Managed,Deciduous,Mature,,Dry,,,,,,,,,,,Alkali absorption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.5,,,,,45.1,,,,,,,,,
3334,2009-08-26,220,Kawahara,,,BBL,Japan,,Yaita City,JP-YAC-COYOU,1974,1,,,600,None,,,,Chemacecyparis obtusa,Temperate,Forest,Managed,Deciduous,Aggrading,,Dry,,,,,,,,,,,Alkali absorption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.6,,,,,20.9,,,,,,,,,
3335,2009-08-26,220,Kawahara,,,BBL,Japan,,Yaita City,JP-YAC-CC,1974,1,,,600,Clearcut,,,1,Chemacecyparis obtusa,Temperate,Forest,Managed,Deciduous,Aggrading,,Dry,,,,,,,,,,1,Alkali absorption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
3336,2009-08-26,260,Cowling,,,BBL,USA,Alaska,Washington Creek Experimental Area,US-WCE,1978,1,65.07,-149.05,,None,,,125,Picea mariana,Boreal,Forest,Natural,Evergreen,Mature,Histic Pergilic Cryaquepts,Dry,,,,,,-2.9,300,,,,Alkali absorption,35,7.5,181.37,,,,,,,,,,,,,,,,0.11,,,,,,,,,72,,,,,,,,,,,,,,,,,,
3337,2009-09-07,4128,Wang,,,BBL,China,,CFERN,CN-CFERN-PO,2005.5,1,35.02,112.47,,None,,,30,Platycladus orientalis,Temperate,Forest,Managed,Evergreen,Aggrading,,Dry,,,,,,,,,,,IRGA,9,8,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3338,2009-09-07,4128,Wang,,,BBL,China,,CFERN,CN-CFERN-QV,2005.5,1,35.02,112.47,,None,,,25,Quercus variabili,Temperate,Forest,Managed,Deciduous,Aggrading,,Dry,,,,,,,,,,,IRGA,9,8,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3339,2009-09-10,2692,Maddock,,,BBL,Brazil,Rio de Janeiro,,BR-ACP-MIX,1997.5,1,-22.73,-43.67,200,None,,,,Mix,Tropical,Forest,Natural,Evergreen,Mature,Clay loam (Acrisol),Dry,,9,,,,23,1500,,,,Gas chromatography,14,1.1,706.5,,,,,830,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694,,
3340,2009-09-10,2692,Maddock,,,BBL,Brazil,Rio de Janeiro,,BR-ACP-GRA,1997.5,1,-22.73,-43.67,200,None,,,,Grasses (mix),Tropical,Grassland,Unmanaged,Deciduous,Mature,Clay loam (Acrisol),Dry,,10,,,,23,1500,,,,Gas chromatography,14,1.1,706.5,,,,,1272,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,,
3341,2009-09-10,2692,Maddock,,,BBL,Brazil,Rio de Janeiro,,BR-ACP-ME,1997.5,1,-22.73,-43.67,200,None,,40,1,Manihot esculenta,Tropical,Agriculture,Managed,Deciduous,Aggrading,Clay loam (Acrisol),Dry,,23,,,,23,1500,,,,Gas chromatography,14,1.1,706.5,,,,,568,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,
3342,2009-09-10,2692,Maddock,,,BBL,Brazil,Rio de Janeiro,,BR-ACP-CC,1997.5,1,-22.73,-43.67,200,None,,,1,Cajanus cajan,Tropical,Agriculture,Managed,Deciduous,Aggrading,Clay loam (Acrisol),Dry,,23,,,,23,1500,,,,Gas chromatography,14,1.1,706.5,,,,,1104,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,,
3343,2009-09-10,3803,Dumas,,Q01,BBL,USA,North Carolina,Linville Gorge,US-LIG-CC,2002,1.3,35.9,-81.9,950,None,,,,Quercus coccinea; Oxydendron arboretum; Quercus alba; Pinus strobus; Nyssa sylvatica; Acer rubrum; Quercus prinus; Pinus rigida,Temperate,Forest,Natural,Mixed,Mature,,Dry,,,,,,,,,,,IRGA,,,,,45,1,,1763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,,,,,,,,,Rs_annual estimated from figure
3344,2009-09-10,3803,Dumas,,Q01,BBL,USA,North Carolina,Linville Gorge,US-LIG-BURN,2002,1.3,35.9,-81.9,950,Burned,,,,Quercus coccinea; Oxydendron arboretum; Quercus alba; Pinus strobus; Nyssa sylvatica; Acer rubrum; Quercus prinus; Pinus rigida,Temperate,Forest,Natural,Mixed,Mature,,Dry,,,,,,,,,,,IRGA,,,,,45,1,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,Rs_annual estimated from figure
3345,2009-09-10,4664,Zhu,,,BBL,China,,Sangong-FS,CN-SAN-FS,2005,1,44,88,,None,,,,Tamarix ramosissima Ledeb,Temperate,Forest,Managed,Deciduous,Mature,Gray desert soil,Dry,,,29,67,4,6.9,220,1817,,,IRGA,,3,78,,30,0.5,,334,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3346,2009-09-10,4664,Zhu,,,BBL,China,,Sangong-ND,CN-SAN-ND,2005,1,44,88,,None,,,,Haloxylon ammodendron,Temperate,Desert,Unmanaged,Deciduous,Mature,Gray desert soil,Dry,,,29,67,4,6.9,220,1817,,,IRGA,,3,78,,30,0.5,,191,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3347,2009-09-10,4313,Grönlund,,,BBL,Norway,,Bod¿,NO-BOD,2003.5,1.3,67.3,14.53,,None,,,1,Grasses (mix),Boreal,Agriculture,Managed,Deciduous,Aggrading,Organic,Dry,,,,,,4.3,1020,,,,,,,625,,21,1,,600,,,,,,,,,,,,,,,,940,1160,,,,,,,,,,,,,,,,,,,,,
3348,2009-09-10,399,Raich,,,BBL,Costa Rica,,CATIE-Florencia Norte,CR-CFN-YOU,1980,1,9.88,-83.67,650,None,,,10,Mix,Tropical,Forest,Unmanaged,Evergreen,Aggrading,,Dry,,,,,,,2700,,,,Alkali absorption,,2,186,,,,,,,,,,,,,,,,,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,2009-09-10,399,Raich,,,BBL,Costa Rica,,CATIE-Florencia Norte,CR-CFN-ES,1980,1,9.88,-83.67,650,Species added,,,1.5,Mix,Tropical,Forest,Unmanaged,Evergreen,Aggrading,,Dry,,,,,,,2700,,,,Alkali absorption,,2,186,,,,,,,,,,,,,,,,,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,
3350,2009-09-10,399,Raich,,,BBL,Costa Rica,,CATIE-Florencia Norte,CR-CFN-SAI,1980,1,9.88,-83.67,650,"Species added, insecticide",,,1.5,Mix,Tropical,Forest,Managed,Evergreen,Aggrading,,Dry,,,,,,,2700,,,,Alkali absorption,,2,186,,,,,,,,,,,,,,,,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,
3351,2009-09-10,399,Raich,,,BBL,Costa Rica,,CATIE-Florencia Norte,CR-CFN-SUC,1980,1,9.88,-83.67,650,None,,,1.5,Mix,Tropical,Forest,Unmanaged,Evergreen,Aggrading,,Dry,,,,,,,2700,,,,Alkali absorption,,2,186,,,,,,,,,,,,,,,,,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,
3352,2009-09-10,399,Raich,,,BBL,Costa Rica,,CATIE-Florencia Norte,CR-CFN-ISU,1980,1,9.88,-83.67,650,None,,,1.5,Mix,Tropical,Forest,Unmanaged,Evergreen,Aggrading,,Dry,,,,,,,2700,,,,Alkali absorption,,2,186,,,,,,,,,,,,,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,
3353,2009-09-10,399,Raich,,,BBL,Costa Rica,,CATIE-Florencia Norte,CR-CFN-MM,1980,1,9.88,-83.67,650,None,,,3.2,Gmelina arborea,Tropical,Forest,Managed,Evergreen,Aggrading,,Dry,,,,,,,2700,,,,Alkali absorption,,2,186,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
3354,2009-09-10,399,Raich,,,BBL,Costa Rica,,CATIE-Florencia Norte,CR-CFN-CM,1980,1,9.88,-83.67,650,None,,,0.8,Manihot esculenta,Tropical,Forest,Managed,Evergreen,Aggrading,,Dry,,,,,,,2700,,,,Alkali absorption,,2,186,,,,,,,,,,,,,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,
3355,2009-09-10,399,Raich,,,BBL,Costa Rica,,CATIE-Florencia Norte,CR-CFN-CMPI,1980,1,9.88,-83.67,650,Pesticide,,,0.9,Manihot esculenta,Tropical,Forest,Managed,Evergreen,Aggrading,,Dry,,,,,,,2700,,,,Alkali absorption,,2,186,,,,,,,,,,,,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,
3356,2009-09-10,399,Raich,,,BBL,Costa Rica,,CATIE-Florencia Norte,CR-CFN-BSV,1980,1,9.88,-83.67,650,None,,,1.5,None,Tropical,Forest,Managed,Evergreen,Aggrading,,Dry,,,,,,,2700,,,,Alkali absorption,,2,186,,,,,,,,,,,,,,,,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,
3357,2009-09-10,467,Dorr,,Q01,BBL,Germany,,,DE-HDB-FOR,1981.5,5.5,49.33,8,,None,,,,Fagus sylvatica; Picea spp.,Temperate,Forest,Unmanaged,Mixed,Mature,,Dry,,,,,,,,,,,IRGA,,,,,30,1,Isotope,470,,,,212,259,0.45,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estimated from figure in text.
3358,2009-09-10,467,Dorr,,Q01,BBL,Germany,,,DE-HDB-GRA,1981.5,5.5,49.33,8,,None,,,,Grasses (mix),Temperate,Agriculture,Managed,Deciduous,Mature,,Dry,,,,,,,,,,,IRGA,,,,,30,1,Isotope,690,,,,311,380,0.45,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estimated from figure in text.
3359,2009-09-08,1256,Yavitt,,,BBL,USA,New York,Connecticut Hill,US-IWI-CH,1994,2,42.4,-76.5,,None,,,,Typha latifolia,Temperate,Wetland,Natural,Deciduous,Mature,Silty clay,Wet,0.65,,,,,,,,,,Gas chromatography,3.05,3,820,,14,1,,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,615,,,,,,,
3360,2009-09-08,1256,Yavitt,,,BBL,USA,New York,Mudd Pond,US-IWI-MP,1994,2,42.4,-76.5,,None,,,,Typha latifolia,Temperate,Wetland,Natural,Deciduous,Mature,Silty clay,Wet,,,,,,,,,,,Gas chromatography,3.05,3,820,,14,1,,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3361,2009-09-08,1256,Yavitt,,,BBL,USA,New York,McLean,US-IWI-ML,1994,2,42.4,-76.5,,None,,,,Typha latifolia,Temperate,Wetland,Natural,Deciduous,Mature,Organic,Wet,0.2,,,,,,,,,,Gas chromatography,3.05,3,820,,14,1,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3362,2009-09-08,1256,Yavitt,,,BBL,USA,New York,Shackleton,US-IWI-SH,1994,2,42.4,-76.5,,None,,40,40,Typha latifolia,Temperate,Wetland,Natural,Deciduous,Mature,Organic,Wet,0.17,,,,,,,,,,Gas chromatography,3.05,3,820,,14,1,,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,260,,,,,,,
3363,2009-09-08,650,Mall,,,BBL,India,,Andaman-MNMF,IN-MNMF,,1,,,,None,,,,Rhizophora spp.,Tropical,Forest,Natural,Evergreen,Mature,,Wet,,,,,,,3180,,,,Alkali absorption,,10,491,,30,1,,1161,13,,,,,,,,,,,,,,,,,,,,,,,355,,,,,,6200,4675,1525,,,,,,
3364,2009-09-08,650,Mall,,,BBL,India,,Andaman-MXMF,IN-MXMF,,1,,,,None,,,,Bruguiera gymnorhiza; Ceriops tagal,Tropical,Forest,Natural,Evergreen,Mature,,Wet,,,,,,,3180,,,,Alkali absorption,,10,491,,30,1,,2040,23,,,,,,,,,,,,,,,,,,,,,,,425,,,,,,10700,10335,365,,,,,,
3365,2009-09-11,3030,Liu,,Q03,BBL,China,,Changbai Mountain,CN-CBS,,1,46.98,127.37,1850,None,,,,Betula ermanii; Picea jezoensis; Abies nephrolepsis; Sorbus pohuashanensis,Temperate,Forest,Natural,Mixed,Mature,Mountain brown coniferous soil,Dry,,,,,,,,,,,IRGA,4.5,2.5,78.5,,50,0.375,Exclusion,,,,,,,,,,,,,,,0.37,Growing,,,,,,,,,,,,,,,,,,,,,,,Used mean of equation parameters given
3366,2009-09-11,3187,Wang,,,BBL,Japan,,Terrestrial Environmental Research Center,JP-TER,2004.5,1,36.1,140.1,27,None,,,,Solidago altissima; Festuca arundinacea; Imperata cylindrica; Miscanthus sinensis,Temperate,Grassland,Unmanaged,Deciduous,Mature,,Dry,,,,,,14.1,1207,,,,IRGA,,3.5,,,30,0.5,Model,,,,,,,,,,,,,,,0.41,Growing,,,,,,,,,,,,,,,,,,,,,,,
3367,2009-09-11,4136,Wang,,,BBL,China,,Yao Jingzi Grassland Nature Reserve,CN-YJG-I,2002,1,44.75,123.75,160,None,,,,Leymus chinensis,Temperate,Grassland,Unmanaged,Deciduous,Mature,,Dry,,,,,,4.9,470,1600,,,Alkali absorption,23,3,132.67,,30,0.42,Model,361,,,,,159,,,,,,,,,0.56,Growing,,,224.7,383.4,203.4,180,,,,,,,,,,,,,,,,,
3368,2009-09-11,4136,Wang,,,BBL,China,,Yao Jingzi Grassland Nature Reserve,CN-YJG-II,2002,1,44.75,123.75,160,None,,,,Puccinellia tenuiflora,Temperate,Grassland,Unmanaged,Deciduous,Mature,,Dry,,,,,,4.9,470,1600,,,Alkali absorption,23,3,132.67,,30,0.42,Model,240,,,,,139,,,,,,,,,0.43,Growing,,,104.6,243.4,130.9,112.5,,,,,,,,,,,,,,,,,
3369,2009-09-12,2513,Acosta,,,BBL,Czech Republic,,Bily Kriz Experimental Ecological Study Site,CZ-BKE,1999,1,49.5,18.54,908,None,,,22,Picea abies; Abies alba,Temperate,Forest,Unmanaged,Evergreen,Aggrading,Sandy loam (Ferric podzol),Dry,,,,,,5.5,1250,,,,IRGA,11,5,200.96,,,,,,,,,,,,,,,,3.39,,,,,,,,,,,,,,,,1.2,7.3,,,,,,,,,,
3370,2009-09-15,585,Antonov,,,BBL,Bulgaria,,,BG-COC-GRA,,,,,1950,None,,,,,Temperate,Grassland,,Deciduous,,Mountainous-meadow soil,Dry,,,,,,,,,,,,,,,,30,0.5,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3371,2009-09-15,585,Antonov,,,BBL,Bulgaria,,,BG-COC-FOR1810M,,,,,1810,None,,,,,Temperate,Forest,,,,Mountainous-forest soil,Dry,,,,,,,,,,,,,,,,30,0.5,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3372,2009-09-15,585,Antonov,,,BBL,Bulgaria,,,BG-COC-FOR16810M,,,,,1610,None,,,,,Temperate,Forest,,,,Brown forest dark soil,Dry,,,,,,,,,,,,,,,,30,0.5,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3373,2009-09-15,1269,Blanke,,,BBL,Germany,,,DE-SLA,1995.5,4,50.75,7.1,,None,,,,Malus domestica,Temperate,Forest,Managed,Deciduous,Mature,Sandy loam,Dry,,,,,,,,,,,IRGA,,,,,30,1,,600,,,,,,,2.84,6.31,2.84,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3374,2009-11-25,592,Fan,,,BBL,Brazil,Amazonas,Reserve Florestal Ducke,BR-RFD,1987,1,-3,-60,,None,,,,,Tropical,Forest,Natural,Evergreen,Mature,,Dry,,,,,,,,,,,IRGA,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,
3375,2009-11-25,4674,Brooks,,,BBL,USA,Colorado,Niwot Ridge (forest),US-NIR-FOR,1994,1,40.05,-105.58,3400,None,,,,Pinus spp.; Picea spp.; Abies spp.,Temperate,Forest,Natural,Evergreen,Mature,,Dry,,,,,,,1050,,,,Gas chromatography,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3376,2009-11-25,4674,Brooks,,,BBL,USA,Colorado,Niwot Ridge (alpine I & II),US-NIR-ALPINE,1994,1,40.05,-105.58,3500,None,,,,Pinus spp.; Picea spp.; Abies spp.,Temperate,Shrubland,Natural,Evergreen,Mature,,Dry,,,,,,,1050,,,,Gas chromatography,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3377,2009-11-25,4674,Brooks,,,BBL,USA,Colorado,Snake River (forest),US-SNR-PINE,1996,1,39.5,-105.83,3450,None,,,,Pinus spp.; Picea spp.; Abies spp.,Temperate,Forest,Natural,Evergreen,Mature,,Dry,,,,,,,1200,,,,Gas chromatography,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3378,2009-11-25,4674,Brooks,,,BBL,USA,Colorado,Snake River (meadow),US-SNR-MEAD,1996,1,39.5,-105.83,3400,None,,,,Grasses (mix),Temperate,Grassland,Natural,Deciduous,Mature,,Dry,,,,,,,1200,,,,Gas chromatography,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3379,2009-11-25,4674,Brooks,,,BBL,USA,Colorado,Deer Creek (forest),US-DEC-PINE,1996,1,39.5,-105.83,3400,None,,,,Pinus spp.; Picea spp.; Abies spp.,Temperate,Forest,Natural,Evergreen,Mature,,Dry,,,,,,,1200,,,,Gas chromatography,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3380,2009-11-25,4674,Brooks,,,BBL,USA,Colorado,Deer Creek (meadow),US-DEC-MEAD,1996,1,39.5,-105.83,3450,None,,,,Grasses (mix),Temperate,Grassland,Natural,Deciduous,Mature,,Dry,,,,,,,1200,,,,Gas chromatography,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3381,2009-11-25,4674,Brooks,,,BBL,USA,Colorado,Loch Vale (meadow),US-LOV-MEAD,1994,1,40.28,-105.67,3250,None,,,,Grasses (mix),Temperate,Grassland,Natural,Deciduous,Mature,,Dry,,,,,,,1100,,,,Gas chromatography,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3382,2009-12-07,4675,Martins,,"Q03, Q11",BBL,Brazil,Amazonas,Reserva Biológica de Campina,BR-RBC-FOR,1975,1,-2.63,-60.02,,None,,,,,Tropical,Forest,Natural,Evergreen,Mature,,Dry,,,,,,26.7,2101,,,,Alkali absorption,,,490.63,,,,,144,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year measurements made not given; very low reported annual Rs
3383,2009-12-07,4675,Martins,,"Q03, Q11",BBL,Brazil,Amazonas,Reserva Biológica de Campina,BR-RBC-SHR,1975,1,-2.63,-60.02,,None,,,,,Tropical,Shrubland,Natural,Evergreen,Mature,,Dry,,,,,,26.7,2101,,,,Alkali absorption,,,490.63,,,,,126,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year measurements made not given; very low reported annual Rs
3384,2009-12-07,4675,Martins,,"Q03, Q11",BBL,Brazil,Amazonas,Reserva Biológica de Campina,BR-RBC-GRA,1975,1,-2.63,-60.02,,None,,,,,Tropical,Grassland,Natural,Evergreen,Mature,,Dry,,,,,,26.7,2101,,,,Alkali absorption,,,490.63,,,,,107,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Year measurements made not given; very low reported annual Rs
3385,2010-03-30,5278,Zu,,,BBL,China,Heilongjiang,Maoershan Experimental Forest Farm,CN-MEF-CK,2001,1,45.333,127.5667,340,None,,,32,Larix gmeilini,Temperate,Forest,Managed,Deciduous,Mature,Mesic black to brown,Dry,,,,,,2.8,,1094,,650,IRGA,,2,,,30,1,,842,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,1537,1850,,100,
3386,2010-03-30,5278,Zu,,,BBL,China,Heilongjiang,Maoershan Experimental Forest Farm,CN-MEF-CK,2002,1,45.333,127.5667,340,None,,,33,Larix gmeilini,Temperate,Forest,Managed,Deciduous,Mature,Mesic black to brown,Dry,,,,,,2.8,,1094,,650,IRGA,,2,,,30,1,,929,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3387,2010-03-30,5278,Zu,,,BBL,China,Heilongjiang,Maoershan Experimental Forest Farm,CN-MEF-CK,2003,1,45.333,127.5667,340,None,,,34,Larix gmeilini,Temperate,Forest,Managed,Deciduous,Mature,Mesic black to brown,Dry,,,,,,2.8,,1094,,650,IRGA,,2,,,30,1,,874,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3388,2010-03-30,5278,Zu,,,BBL,China,Heilongjiang,Maoershan Experimental Forest Farm,CN-MEF-CK,2004,1,45.333,127.5667,340,None,,,35,Larix gmeilini,Temperate,Forest,Managed,Deciduous,Mature,Mesic black to brown,Dry,,,,,,2.8,,1094,,650,IRGA,,2,,,30,1,,823,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3389,2010-03-30,5278,Zu,,,BBL,China,Heilongjiang,Maoershan Experimental Forest Farm,CN-MEF-CK,2005,1,45.333,127.5667,340,None,,,36,Larix gmeilini,Temperate,Forest,Managed,Deciduous,Mature,Mesic black to brown,Dry,,,,,,2.8,,1094,,650,IRGA,,2,,,30,1,,868,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3390,2010-03-30,5278,Zu,,,BBL,China,Heilongjiang,Maoershan Experimental Forest Farm,CN-MEF-CK,2006,1,45.333,127.5667,340,None,,,37,Larix gmeilini,Temperate,Forest,Managed,Deciduous,Mature,Mesic black to brown,Dry,,,,,,2.8,,1094,,650,IRGA,,2,,,30,1,,857,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3391,2010-03-30,5278,Zu,,,BBL,China,Heilongjiang,Maoershan Experimental Forest Farm,CN-MEF-CUT,2001,1,45.333,127.5667,340,None,,,4,Larix gmeilini,Temperate,Forest,Managed,Deciduous,Mature,Mesic black to brown,Dry,,,,,,2.8,,1094,,650,IRGA,,2,,,30,1,,592,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3392,2010-03-30,5278,Zu,,,BBL,China,Heilongjiang,Maoershan Experimental Forest Farm,CN-MEF-CUT,2002,1,45.333,127.5667,340,None,,,5,Larix gmeilini,Temperate,Forest,Managed,Deciduous,Mature,Mesic black to brown,Dry,,,,,,2.8,,1094,,650,IRGA,,2,,,30,1,,847,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3393,2010-03-30,5278,Zu,,,BBL,China,Heilongjiang,Maoershan Experimental Forest Farm,CN-MEF-CUT,2003,1,45.333,127.5667,340,None,,,6,Larix gmeilini,Temperate,Forest,Managed,Deciduous,Mature,Mesic black to brown,Dry,,,,,,2.8,,1094,,650,IRGA,,2,,,30,1,,821,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3394,2010-03-30,5278,Zu,,,BBL,China,Heilongjiang,Maoershan Experimental Forest Farm,CN-MEF-CUT,2004,1,45.333,127.5667,340,None,,,7,Larix gmeilini,Temperate,Forest,Managed,Deciduous,Mature,Mesic black to brown,Dry,,,,,,2.8,,1094,,650,IRGA,,2,,,30,1,,630,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
